"start","end","winner","forfeit","ID","fid1","score1","atk1","resp1","pts1","cache1","rb1","ra1","membs1","fid2","score2","atk2","resp2","pts2","cache2","rb2","ra2","membs2","win1","win2","rew1","rew2"
1701378000,1701473863,8944,0,9726,"8944",5825,1150,5261,78988000,2.04e+09,"Silver I","Silver III",45,"48832",101,22,920,13832000,0,"Silver III","Silver II",40,TRUE,FALSE,2118988000,0
1701450000,1701516592,7115,0,9727,"7115",10867,1276,7760,116525500,2.945e+09,"Platinum III","Platinum III",46,"9110",2040,267,2545,38220000,9.45e+08,"Platinum II","Platinum I",48,TRUE,FALSE,3061525500,0
1701374400,1701680456,41460,0,9728,"41460",3022,902,2214,33260500,8.2e+08,"Silver III","Gold I",16,"49122",1469,321,2038,30621500,7.65e+08,"Silver III","Silver II",23,TRUE,FALSE,853260500,0
1701554400,1701574131,42125,0,9729,"22492",3076,281,5753,86359000,2.235e+09,"Diamond","Platinum III",93,"42125",20685,1542,23853,358130500,9.215e+09,"Platinum III","Diamond I",97,FALSE,TRUE,0,9573130500
1701460800,1701512229,9412,0,9730,"8537",3509,445,7080,106288000,2.75e+09,"Platinum","Gold III",98,"9412",18411,2148,13552,203476000,5.14e+09,"Platinum I","Platinum II",99,FALSE,TRUE,0,5343476000
1701349200,1701598916,50508,0,9731,"50508",1681,486,965,0,2.35e+08,"Unranked","Bronze I",14,"50810",438,125,374,0,0,"Unranked","Unranked",12,TRUE,FALSE,2.35e+08,0
1701446400,1701615834,49010,0,9732,"49010",3707,925,3203,0,1.125e+09,"Bronze","Bronze I",29,"50070",511,149,659,0,0,"Bronze","Bronze",34,TRUE,FALSE,1.125e+09,0
1701370800,1701734456,49927,0,9733,"49927",2963,442,3666,55055000,1.445e+09,"Gold II","Gold III",15,"50170",2110,449,1883,28255500,7.35e+08,"Gold I","Gold",11,TRUE,FALSE,1500055000,0
1701554400,1701702743,46588,0,9734,"14633",2960,649,1334,20020000,5e+08,"Silver I","Silver",46,"46588",8463,1360,6998,105059500,2.555e+09,"Silver I","Silver II",55,FALSE,TRUE,0,2660059500
1701464400,1701560562,8468,0,9735,"8468",20480,1615,12342,185321500,4.615e+09,"Platinum III","Platinum III",62,"8836",8451,815,6353,95368000,2.515e+09,"Platinum III","Platinum II",78,TRUE,FALSE,4800321500,0
1701342000,1701698457,47467,0,9736,"47467",1587,464,2585,38811500,1e+09,"Bronze","Bronze I",19,"50433",812,198,1215,0,4.15e+08,"Bronze","Bronze",20,TRUE,FALSE,1038811500,0
1701435600,1701770455,40775,0,9737,"20465",4542,515,7747,116343500,2.985e+09,"Platinum I","Platinum",92,"40775",8746,842,24206,363454000,9.755e+09,"Platinum","Platinum I",73,FALSE,TRUE,0,10118454000
1701475200,1701622828,17055,0,9738,"17055",4436,829,3695,55464500,1.39e+09,"Silver I","Silver II",24,"45277",1025,226,462,6916000,0,"Bronze II","Bronze II",16,TRUE,FALSE,1445464500,0
1701536400,1701554085,6974,0,9739,"6974",17083,1547,16605,249340000,6.365e+09,"Platinum","Platinum I",100,"33241",2082,248,3246,48730500,1.085e+09,"Platinum I","Platinum",92,TRUE,FALSE,6614340000,0
