fac1,fac2,fac1_name,fac2_name,wstart,wid,week
15694,50002,ZERO TO HERO SUPREME,Not A Cult,1737205200,21197,2025_3
1251,43752,Project.Mayhem,Tweakers in Sneakers,1737226800,21196,2025_3
14768,51803,RISE FROM RUIN,SlowPokeTail Harvest Crew,1737212400,21195,2025_3
24218,46805,War INC,Hummingbirds,1737212400,21194,2025_3
42435,46978,Nub Army,PT-Slinkys,1737064800,21193,2025_3
39226,47838,Samurai Uprising*,Fallout Shelter,1737154800,21192,2025_3
50348,52208,Fulca,We Forsaken Few,1737064800,21191,2025_3
48097,50070,Braveheart,Business &amp; Trade Family,1737154800,21190,2025_3
18963,24106,Search &amp; Destroy,The Almanac,1737057600,21189,2025_3
49708,50478,The Ravens,TEAM SESH,1737147600,21188,2025_3
51447,51813,2nd Chance,The BellaVerde Family,1737234000,21187,2025_3
51382,52953,jolly fellows,Sinful Sacrosanct,1737169200,21186,2025_3
19,8989,39th Street Killers,JUX HQ,1737039600,21185,2025_3
11559,20514,The Masters,DropBears,1737133200,21184,2025_3
6731,16628,The Next Level,Chain Reaction,1737046800,21183,2025_3
50150,50699,Mortal Ruin,Star-Light-Warriors,1737118800,21182,2025_3
52128,53011,The Pilgrimage,S A LEGEND HQ,1737230400,21181,2025_3
41309,52267,The Askelads,Hippy War Commune,1737216000,21180,2025_3
49153,52826,The Weekend Warriors,The Circle of Trust,1736989200,21179,2025_3
10296,42055,Retaliation,Dead Fragment,1737223200,21178,2025_3
52428,52693,Divine Inferno,JCL Base 1,1737129600,21177,2025_3
45635,51151,Ascended Punks,The Peaki Blinders,1737039600,21176,2025_3
51180,53010,TheHighTableContinental,Santa&#039;s Naughty List,1737115200,21175,2025_3
50927,50951,"SEX,  Sweet-Ecstacy-Xanax",The Gambino Family,1737050400,21174,2025_3
51719,52656,Lycans,Continental,1737115200,21173,2025_3
50754,51697,Th3 Illuminati,Nine Hells of Baator,1736985600,21172,2025_3
9047,34247,DarkHearts,Veloce,1737129600,21171,2025_3
9455,9503,Bleed,TSFTS Microbrewery,1737061200,21170,2025_3
8468,9524,Bloodbath and Beyond,|HT|,1737151200,21169,2025_3
49413,51579,Green &#039;Peace&#039;,Win Or Learn,1737054000,21168,2025_3
9171,51062,Occul2us,High Table,1737136800,21167,2025_3
51628,52873,Wolfe Corp.,Bargain Boozers CW,1737064800,21166,2025_3
48832,50888,One Big Family,Owain&#039;s Rebels,1737223200,21165,2025_3
41028,45421,DP Medics,Ricefields of Neverland,1737122400,21164,2025_3
52015,52042,Red Rising,Perfectly Violent Society,1737237600,21163,2025_3
