cor,V2,V3,N2,N1
0.716794677146685,3478473,610407,18,17
0.7167308438479,2668340,1971648,16,19
0.716580801129598,3357147,2147691,34,27
0.716373332701945,2611867,1553098,28,16
0.716026254628683,2433297,1289614,28,27
0.715892373388193,3359485,1977612,15,17
0.715702204220735,3165679,1882208,22,16
0.715558295850646,3501923,196847,16,22
0.715377035937267,3303335,2157550,27,21
0.715345919313118,1979333,488099,99,96
0.715241276253045,2792405,2717370,18,31
0.715146705839504,2650834,1986860,16,25
0.715012722646311,2139865,31379,15,15
0.714596677595536,3177278,2963248,16,25
0.714555136969803,3340601,2389871,28,16
0.714539329988382,2808118,1977612,15,20
0.71445591387664,3474629,2604114,19,24
0.714175045732091,2602709,2570062,21,19
0.71405157109448,3485771,2147691,34,23
0.713904423316747,2596647,1524349,19,24
0.713556391488611,2433297,1558510,28,27
0.713509914426763,2049374,305969,18,17
0.713436673499525,3419269,1289614,28,38
0.713414459309245,3277383,75049,15,15
0.713404971634293,3477231,3185862,24,16
0.713310408518083,2127793,1927658,15,18
0.713178298441015,3231236,2725167,24,20
0.713125941088507,3496670,3224888,92,96
0.712950844832002,2142605,75049,15,20
0.712901797412117,3491668,2268059,21,17
0.712673503235873,3256807,2784756,26,15
0.712639036243837,3499041,2234041,17,16
0.712631136882821,3373305,3268878,109,108
0.712551492514473,2711535,2029155,20,23
0.712380214575334,1881373,1723396,15,15
0.712127402140487,3440276,974440,18,15
0.711744435912884,3502523,3501662,30,29
0.711489393590206,2480310,2104294,15,15
0.711488923235446,3471772,3025920,24,24
0.711315547660247,3231236,771193,18,20
0.711213492720726,3324666,3231153,21,15
0.711157178703747,2561474,1544459,17,27
0.71114530671754,2978338,1723071,24,17
0.710923504503972,2502218,488099,99,97
0.71086926168068,3476514,2406340,20,15
0.710788064269319,1543803,736542,19,19
0.710604086043154,3213568,938470,15,18
0.710338453204287,3231653,1685400,24,15
0.710147739275501,1831727,1365915,30,48
0.710064437592183,3202397,2012173,23,25
0.709988060910203,3501663,2683569,17,15
0.70981212825521,2806506,1358474,18,15
0.709789589338693,3365721,2111026,94,92
0.70977780870513,3488454,3141701,34,15
0.709694255010185,3477991,3231236,20,26
0.70961136232184,3499041,3248181,20,16
0.70945506058131,2111111,1763579,21,22
0.709416770047325,544071,36407,16,17
0.709295012231288,3451096,2254101,15,21
0.709217369959268,3480409,2162657,19,22
0.709187605525295,3263539,2156739,98,115
0.709057918903749,3502016,3128295,29,18
0.708911644292468,3498241,3494860,22,16
0.708880520230952,2671376,2596647,24,24
0.708832471827346,3459347,1044778,20,19
0.708731288613119,1651407,237352,24,15
0.70871733386657,3498163,3231653,15,15
0.708667568596329,2724609,448404,21,15
0.708654157756426,3455304,3228624,111,101
0.708623086043909,2126486,1752229,21,20
0.708534966070357,3494860,1566810,21,22
0.708380349983456,3501663,3254612,26,15
0.708276554372883,2743373,2461239,19,19
0.708167377004397,3228652,2683047,18,23
0.708081856355763,2889423,1289614,28,25
0.708060547253517,2761402,2124283,16,25
0.708052555184852,3498241,288160,28,16
0.708011495853947,3141701,2758907,27,34
0.707926511729703,3479855,3370907,19,21
0.707880117632335,2963248,2489650,23,16
0.707707941843575,2580515,975705,21,25
0.707678405378414,2791475,1089425,15,16
0.707569914395839,2008244,1310953,16,17
0.707460599963348,3330606,2650513,17,18
0.707267409431877,3491124,3159830,17,19
0.70718954248366,469458,467837,15,15
0.707126985103325,3501663,2825106,21,15
0.707072057498761,3370555,3185666,54,57
0.706898036923005,1997011,541153,98,111
0.706683225834064,2015161,444669,105,95
0.706572430759735,2921727,182490,20,16
0.706567303213787,2549417,2309714,28,28
0.706554937541324,2887870,2082336,15,35
0.706442178019697,2439498,966152,17,16
0.70643824201862,3135764,2198404,35,17
0.706418410639271,3229250,2027296,15,18
0.706192967616437,2996405,2118096,19,22
0.706120997762754,2178276,2100534,24,22
0.706014513150962,3439376,541153,98,110
0.705902807834026,1835613,196847,16,20
0.705676243868255,3497613,1691773,23,23
0.70564460641631,3424985,3183416,20,16
0.70547476743936,3335341,2779729,34,31
0.705405006240307,3493098,3479855,21,22
0.705363227676414,1642154,444445,24,20
0.7052089999748,2152427,1967532,20,21
0.705140141431208,3303335,2665361,28,21
0.704855419659017,3459347,3277383,15,19
0.704823717440223,3468331,685661,18,21
0.704574502889233,2139284,1842058,16,23
0.704525194945506,2259683,1430268,24,22
0.704457161422606,2771563,2628327,26,23
0.704252427600542,3453239,370108,17,19
0.70421462396782,3392117,2142605,20,19
0.704131835289871,3485771,2272005,26,23
0.704095666948248,3441763,2157880,15,18
0.703870646447412,2815827,1725834,16,18
0.703861422097538,3481428,647431,19,25
0.703711604357631,3355971,3301872,56,55
0.703703703703704,2908439,666622,18,18
0.703669956170655,2886288,2336520,31,17
0.703650207954739,3501663,3231653,15,15
0.703648040623054,3231653,1654906,25,15
0.703542826116466,3135764,2416183,17,17
0.703393098675474,3416862,3387549,23,18
0.703347427397124,3479855,2029155,20,21
