fac1,fac2,fac1_name,fac1_name,fac1_name,fac2_name,fac2_name,fac2_name,wstart,wend,winner,week
8076,25001,Order Through Chaos,0,1,The Red Knights,0,0,1737234000,0,0,2025_3
9032,27370,Wolf Pack,0,0,Desert Eagle,0,0,1737122400,0,0,2025_3
478,14821,PT-ShadowRazers,0,0,JFK - Future Killers,0,5,1737061200,0,0,2025_3
51700,52998,Fodder.,0,0,Tree Guild,0,0,1737140400,0,0,2025_3
50579,51166,Trash Bandits,0,0,Bigger on the Inside,0,0,1737068400,0,0,2025_3
49384,50890,Organised Chaos,0,0,Wartopia,0,0,1737223200,0,0,2025_3
20211,50279,CR-ACK,0,0,Eclipse Utopia,0,0,1737234000,0,0,2025_3
9305,10739,Legitimate Business,0,1,The Next Level - Forge,0,0,1737230400,0,0,2025_3
9055,22887,Natural Selection IV,0,0,Resilience,0,0,1737219600,0,0,2025_3
7835,8422,Monarch Mutation,0,0,Monarch Cupid,0,0,1737129600,0,0,2025_3
8062,9420,Ruthless Reborn,0,2,Berserk,0,2,1737234000,0,0,2025_3
51218,52650,Magus Optimum,0,0,The Hansa,0,0,1737050400,0,0,2025_3
6834,8795,TBA - Rise Above,0,1,The Brotherhood of Battle,0,0,1737234000,0,0,2025_3
16296,48058,School of Devlins,0,0,Banty Shack,0,0,1737223200,0,0,2025_3
52380,52870,The Klingon Empire,0,0,Murder,0,0,1737079200,0,0,2025_3
50274,50643,Forbidden Realm,0,0,Caramel Chocolate Winter,0,0,1737061200,0,0,2025_3
50793,53051,Money Obligated Beast,0,0,Embers,0,0,1737212400,0,0,2025_3
52686,52726,The Eclipsed Order,0,0,Nine Hells - Avernus,0,0,1737169200,0,0,2025_3
46700,49646,Bleeding Streets,0,0,Immortal Warriors,0,0,1737237600,0,0,2025_3
11131,47648,Infernum Perdition,0,0,Rising Heroes,0,0,1737241200,0,0,2025_3
49793,51141,GANGSTA CARTEL HQ,0,2,monark krisalis,0,0,1737169200,0,0,2025_3
40951,49430,TBA-Rise Again,0,0,55th Street,0,0,1737226800,0,0,2025_3
41291,49585,UNDERWORLD ASSASSINS,0,0,Ghost Vipers,0,0,1737151200,0,0,2025_3
5431,16247,[Redacted],0,0,Capacity X,0,0,1737237600,0,0,2025_3
52336,53142,The Wolves of Wall Street,0,0,Project Xanax,0,0,1737208800,0,0,2025_3
48769,50440,The Coalition,0,0,The Desert Rats.,0,2,1737032400,0,0,2025_3
23193,40518,Materia,0,0,Monarch Optimus,0,0,1737223200,0,0,2025_3
49685,52246,Democratic strike,0,0,The Classroom,0,0,1737219600,0,0,2025_3
1117,38847,Ascension,0,0,Vigilantes,0,0,1737237600,0,0,2025_3
16696,47710,PT-Guemedolphinos,0,0,PT-GuemLand,0,0,1737151200,0,0,2025_3
52032,52429,War Criminals,0,0,The FYA 2,0,0,1737036000,0,0,2025_3
14386,44376,Blue Rock Cartel (BRC),0,0,The Fellowship Warriors,0,0,1737072000,0,0,2025_3
15655,40399,Ravage,0,0,WIT-Mayhem,0,0,1737223200,0,0,2025_3
52431,52764,D.T.S,0,0,Arctic Vanguard INC,0,0,1737223200,0,0,2025_3
40380,42872,Seshlehem,0,0,Ares Kratos,0,0,1737054000,0,0,2025_3
19060,48184,Fallout,0,0,Soulless Mafia,0,0,1737151200,0,0,2025_3
52904,53153,The Cavemen,0,0,Brotherhood of the Glade,0,0,1736996400,0,0,2025_3
27223,41929,Stompers,0,0,Valor,0,1,1737122400,0,0,2025_3
43123,49782,Penguins with Guns,0,0,Den Legends,0,0,1737162000,0,0,2025_3
15694,50002,ZERO TO HERO SUPREME,0,0,Not A Cult,0,0,1737205200,0,0,2025_3
1251,43752,Project.Mayhem,0,2,Tweakers in Sneakers,0,0,1737226800,0,0,2025_3
14768,51803,RISE FROM RUIN,0,0,SlowPokeTail Harvest Crew,0,0,1737212400,0,0,2025_3
