uid,name,level,la,fid,faction,rankedwarhits,attackswon,xantaken,useractivity,retals,boostersused,energydrinkused,specialammoused,dukecontractscompleted,refills,total
1956593,Razormind,96,1718872705,27370,Desert Eagle,1.58,2.43,2.34,4047.49,0.01,0.01,0.28,17.64,0.04,0.92,6779966122
1956699,Kindly,100,1718877126,28349,Dexter&#039;s Laboratory,7.83,9.86,2.49,10811.98,1.11,0.87,1.87,37.11,0.36,0.91,5060740425
1956982,Sox,73,1718856666,8715,Midnight X,2.36,5.73,2.37,5480.76,0.54,0.39,0.56,3.9,0.09,0.8,1353896881
1957682,PerfectPlayer,91,1718869659,6731,The Next Level,0.69,1.91,2.08,3427.46,0,0.06,0.14,5.21,0.18,0.79,1708567457
1958780,awkward,99,1718864864,36891,FLATLINE,1.29,3.04,2.64,2428.3,0.24,0.03,0,1.11,0.72,0.88,4847057761
1958985,DrunkPenguin,93,1718875953,8715,Midnight X,0.58,1.37,2.3,1832.96,0.1,0.01,0,0,0,0.84,3688512007
1959046,OhItsGreenNow,100,1718871578,231,Destructive Anomaly,1.92,1.96,2.36,3119.67,0.06,0.06,0.08,14.82,0.12,0.91,7525172252
1959147,IROGOD,88,1718874983,8085,Nuclear Blast,1.42,2.53,2.23,1938.84,0.06,0.07,0.09,0,0.39,0.7,2171941029
1959482,-Beesus-,92,1718867778,25025,DP Warriors,0.32,4.11,3.04,26340.16,0.16,0.08,11.26,65.96,0.37,0.94,3614840813
1960427,_BabyDoll_,100,1718856176,2013,Subversive  Alliance,2.28,4.14,2.76,9651.13,0.18,0.01,10.88,6.51,1,0.92,4630426829
1960619,liewan012,83,1718877419,11796,SMTH - Bright Summit,1.68,1.69,2.43,1739.32,0.01,0.02,0.13,0,0,0.76,3729887376
1961283,Scouseboy,72,1718875640,20554,Rising Reckoning,5.77,8.42,2.33,3137.37,0.03,0.19,0.08,0,0,0.9,321201545
1961735,Fenrir,91,1718877407,14365,JFK 2.1,2.48,2.48,2.36,1463.26,0.06,0.06,0.12,0,0,0.81,3640378985
1962005,BlackRaG,100,1718875893,8151,Chromatic,2.02,2.73,2.53,2475.69,0.02,0.03,0,0.06,0,0.91,7124593823
1962265,Shad3,81,1718876245,42435,Nub Army,2.16,2.16,2.42,1289.04,0,1.07,0.43,0,0,0.98,2058945064
1962321,Macroflation,31,1718878391,8520,Xenon,1.62,2.22,3.1,8533.36,0.01,0.14,11.13,6.3,0.02,0.97,727300646
1962470,Bendix,100,1718876060,230,PT-Family,3.6,4.48,2.68,4404.5,0.01,0.02,3.79,3.64,0.26,0.89,3762728426
1962806,Prized,100,1718865343,478,PT-ShadowRazers,3.02,4.32,2.06,1758.27,0.24,0.01,1.7,2.23,0.49,0.7,4774087770
1962838,OhYourGod,25,1718875994,27370,Desert Eagle,2.38,3.97,2.87,5716.51,0.1,0,0.27,5.73,0.53,0.98,7563945600
1963454,QueenBrooke,100,1718875855,37530,The Iron Retribution,0.82,3.19,2.58,1871.7,0.04,0,0.51,0,0,0.93,4974396672
1963821,soaresol,100,1718877998,18569,Romania Elite Kommando,3.94,5.78,2.7,7679.7,0.44,0.27,10.09,42.98,0.91,0.97,5549124897
1963952,Stormcloud,70,1718867640,21040,Monarch Vanguard,5.44,7.41,2.11,4774.47,0.11,0.02,4.3,0,0.42,0.77,1921091859
1964074,Abitch,90,1718848181,12094,Nuclear Fusion,1,2.19,2.48,2552.99,0.02,0.08,0.18,1.71,0,0.87,3929148866
1964243,SyndroM,33,1718878149,9689,Deja,0.19,2.89,2.06,8134.43,0,0.14,0,5.56,0.37,1.23,19370017
1966136,Armag3ddoN,100,1718862815,9533,Natural Selection,3.06,3.09,2.74,2591.98,0.09,0.07,0.39,0.88,0,0.99,10331202761
1966160,Toorg,100,1718853722,14581,Project Nimbus,6.57,11.56,2.71,6386.04,1.56,0.84,1.41,156.76,0.58,0.96,9.72e+10
1967379,Tyrion,100,1718861253,22781,The Wolverines,2.11,2.84,2,2848.81,0.26,0.14,1.31,46.43,0.51,0.91,6111556516
1967417,chriskoe95,70,1718866713,20514,Monarch X,1.98,5.26,2.46,1772.9,0.06,0.01,0.48,0,0,0.88,4130592088
1967489,I3omb,100,1718873459,8938,Arcadia,0.28,4.22,2.27,2540.49,0.01,0.01,0.36,0,0.69,0.92,9052811951
1967709,yrrelyc,90,1718877174,10856,REK II,3.4,4.51,2.41,8072.34,0.23,0.03,0.86,4.08,0.46,0.88,3311881021
1967969,Circle_Meng,100,1718870388,11796,SMTH - Bright Summit,1.07,1.13,2.47,1219.7,0,0,0,5.76,0,0.94,5506382940
1968176,FreshCookies,95,1718861270,30820,Wolverines Gone Wild,0.68,5.61,2.24,3969.83,0,0.59,1.38,1.06,0.11,0.84,2470290625
1968253,SpaceAce,89,1718877294,44865,Clockwork Orange,1.78,2.13,2.24,2756.62,0.07,0.06,0.2,0,0.28,0.87,740691263
1968437,Misakishi,100,1718852609,10174,AQUA-Poseidon,1.87,1.87,2.56,4465.22,0,0.04,0.59,1.11,0,0.94,4740122492
1968552,BadZena,75,1718875555,6799,The Untouchables,0.51,8.84,2.42,10252.73,0.38,0.42,0.53,18.76,0.23,0.94,8843351682
1969110,Tezcatlipoca,99,1718871327,231,Destructive Anomaly,3.2,5.47,2.32,10778.73,0.01,0.1,0.4,0.56,0.99,0.93,1673091113
1969703,OraLinn,91,1718859656,15226,Whitenoise,3.03,6.18,2.07,3866.89,0.19,1.6,0.09,9.14,0.58,0.91,1767946316
