uid,name,level,la,fid,faction,rankedwarhits,attackswon,xantaken,useractivity,retals,boostersused,energydrinkused,specialammoused,dukecontractscompleted,refills,total
1264813,BlueAdept,100,1718878185,16312,39th Street Killers X,677,19488,6129,19106578,48,530,2089,7808,415,1501,7194966338
1265093,Willysw,95,1718854640,8537,NNGO,1372,6339,4639,11112998,79,164,766,1996,279,766,4691949750
1265754,NickGeo,84,1718872179,7282,Luscious Dreams,397,2539,3099,3581235,36,31,354,9720,362,1319,3419040843
1265909,Jamin,100,1718859657,16628,Chain Reaction,1604,28903,8565,32157400,301,520,12545,58321,716,2780,10358977817
1266202,DarkSpark,94,1718872480,8989,JUX HQ,1501,6356,2672,6757641,83,481,1800,18097,891,1133,2872402880
1266413,Mugs_Bunny,100,1718877024,32781,HAMAG HQ,3153,54281,4165,23042790,486,996,5784,1450,284,1338,1911404592
1266551,Doc-On-Duty,67,1718876123,40992,Medic!!,25,1568,1283,2934505,0,276,758,3955,52,473,261514644
1266618,alifsatar,70,1718870903,21665,Monarch Army of Light,4621,10949,2574,8569040,79,347,304,22388,876,661,1721215223
1268021,Toxin,80,1718878450,16312,39th Street Killers X,3199,15064,4664,41610151,1217,713,3829,31643,510,3589,7758005490
1269106,qez,99,1718857558,13665,PT-Penguins,984,9725,2316,10105645,288,364,2130,22330,309,1627,3866054393
1269398,FI3ND,93,1718866978,41702,39th Street Warriors,925,4491,4144,5845695,56,18,126,141,139,309,3674751011
1272771,LedHarley,63,1718875990,35776,IA Black,2890,10937,2561,9198462,374,120,2226,1197,482,918,1954329328
1273015,-LastSurvivor-,91,1718874472,21234,Underground Nation,2801,6700,3288,7391485,225,101,47,8482,124,465,2808002740
1274736,RickMcDick,97,1718873683,8520,Xenon,1022,6315,3012,10216616,191,24,514,1138,504,1181,3444848527
1276677,ICEMAN00723,97,1718876889,9420,Sacrifice,1874,8388,3933,17465297,487,232,605,27468,288,2137,5618968453
1277209,Bling,80,1718872109,35507,The Nest,190,4251,1968,3150337,10,154,212,23657,383,821,1695939821
1278302,John-Gotti,100,1718868031,13784,WarBirds,536,17060,5055,5813374,4,124,337,231,180,2161,5652010280
1280348,JPills,90,1718875745,7227,The Collective JTF,2109,9801,2390,8266897,679,27,784,22456,740,1386,3327961815
1280393,Ice_Addict,70,1718877980,7935,Blue Rock Collective,627,2559,479,2765167,34,84,153,4482,560,425,607041369
1280905,Hypocritical,100,1718875442,42125,ODB,818,10369,4394,18161738,172,122,3750,11823,473,2086,6327517269
1281415,Temp,100,1718878032,23952,Midnight Plague,1636,19008,5189,16780896,973,492,6490,40995,1139,2261,7417933364
1282456,Devastation,100,1718845469,7835,Monarch Mutation,885,10348,4917,6152172,93,98,768,19279,248,1483,4739005663
1283219,Epsilonson,100,1718863335,18736,Monarch Research,1069,11514,3337,9917545,122,143,678,12290,669,1519,3403996509
1283405,Dragoonseal,100,1718845811,14078,~Twisted~,583,21932,6573,12713473,364,115,376,39697,2590,3218,8457427732
1285682,J-C,100,1718861910,2736,Itsi Bitsi Bikini,590,9992,11682,31188646,83,301,710,17310,641,4226,14382339580
1286893,Yee13,35,1718878447,11428,Swiss Squad,1151,22949,7874,19297140,99,920,2681,17784,261,4774,11692731107
1288184,prastas,100,1718874960,937,Sport Club,1319,12359,4292,5071670,268,269,3225,4094,548,2028,5276521907
1288709,nez,100,1718851922,9412,BLACK STATUES,673,9954,3336,15877642,287,536,1952,32709,1178,2420,6336992929
1290601,Pai_Gyi82,98,1718869174,9036,The Black Pearl,952,8169,6957,9188489,170,246,329,41652,1175,2122,7542135998
1290688,Spink,100,1718872704,7709,Vulpes Vulpes,504,20628,4271,21398887,67,176,1524,13911,988,1682,5909949898
1291268,TugaRambo,85,1718873404,9171,Occul2us,2505,6790,1502,6523310,80,79,271,13830,586,887,1280514991
1291373,Geta,100,1718871174,13502,Dead or Alive,1014,29556,7488,25460872,1605,676,5953,122472,1351,2616,9773090280
1291993,ShottomBotty,66,1718872896,38847,Vigilantes,1415,3602,805,4118712,32,16,53,5414,377,290,527686141
1294600,Cicero,100,1718874721,11747,Natural Selection II,687,11851,1731,34913274,120,83,2241,31115,295,3275,8602219792
1295039,iRz,55,1718874149,7074,T.N.U. - Headquarters,993,5308,1591,4812994,213,13,30,949,277,565,1070978231
1296148,Saucy_Jack,35,1718877694,2013,Subversive  Alliance,437,13161,12161,39953763,599,169,1403,19250,1135,4733,15486310263
1296523,naibeo,66,1718878071,7986,Assassin Team,637,1573,2187,3994386,9,51,19,0,187,734,1716360872
1297404,Bardock,88,1718866904,6731,The Next Level,562,7295,2938,7953744,35,356,1596,1019,218,966,2615808971
1297415,Khan,100,1718844543,15222,Dark Arts,1913,18936,7964,23490239,217,617,2404,15454,568,3554,10798274147
1300219,sturmw6lfe,100,1718874649,38847,Vigilantes,3447,25212,3653,8014970,384,165,677,16690,964,3297,5691594311
130060,Metzo,100,1718875340,8151,Chromatic,1570,36053,5819,20275017,339,648,3208,163057,2508,2138,7066321347
1302661,cellis,75,1718877135,9517,OverWatch,1947,8215,2565,9084745,426,48,96,13592,551,957,1903089567
1302700,skybooster,80,1718876058,937,Sport Club,610,2773,2751,2255525,41,13,66,0,11,970,1756632233
1302890,TengenUzui,76,1718876267,14078,~Twisted~,1296,4682,1305,4923313,104,555,260,1402,91,476,678200693
1303667,Zomnus,100,1718878258,40992,Medic!!,661,12349,3878,12353571,113,60,655,3683,1369,2208,4321597292
1307007,Divinity,100,1718874925,11747,Natural Selection II,461,18439,9002,37703485,187,1234,1267,37452,757,3899,14050269410
1307106,Maybe,100,1718855478,16628,Chain Reaction,870,17113,11514,26217921,368,657,8292,24110,1089,4468,16210611357
13096,Smiler,100,1718870468,8938,Arcadia,827,20470,4714,11495048,260,1494,1919,45161,1018,3122,8268471482
1311397,wc_how,100,1718878372,41929,Valor,4476,25027,9832,34187931,686,781,957,28624,712,4944,14944027614
131289,MIA,100,1718867107,16628,Chain Reaction,1443,38055,9326,29261893,138,732,7291,43166,2241,4599,12753653052
1314640,Zino,70,1718866764,14078,~Twisted~,211,2340,1615,5296712,12,241,1008,1750,148,587,1459895758
1315537,ItalianStallion,100,1718861471,8468,Bloodbath and Beyond,351,10393,6089,15892035,74,94,227,1500,534,2830,7900054128
131670,HouseHippo,40,1718863800,9100,The Black Hand,418,3093,1273,2339216,10,453,131,1500,204,1336,2200288226
