faction,name,fname,members,rank
36457,XJC,Warband of the Fallen,48,Gold
36457,ZDG,Warband of the Fallen,48,Gold
36457,ZIC,Warband of the Fallen,48,Gold
36691,AIF,Rabid Chihuahuas,70,Bronze
36691,CXF,Rabid Chihuahuas,70,Bronze
36691,DXF,Rabid Chihuahuas,70,Bronze
36691,EXF,Rabid Chihuahuas,70,Bronze
36691,JBA,Rabid Chihuahuas,70,Bronze
36691,KBA,Rabid Chihuahuas,70,Bronze
36691,PIF,Rabid Chihuahuas,70,Bronze
36691,XIF,Rabid Chihuahuas,70,Bronze
36691,YIF,Rabid Chihuahuas,70,Bronze
36691,ZIF,Rabid Chihuahuas,70,Bronze
36693,EEA,S.W.A.T Academy,45,Platinum
36693,FEA,S.W.A.T Academy,45,Platinum
36693,GEA,S.W.A.T Academy,45,Platinum
36693,HFA,S.W.A.T Academy,45,Platinum
36693,IFA,S.W.A.T Academy,45,Platinum
36693,JFA,S.W.A.T Academy,45,Platinum
36693,SFA,S.W.A.T Academy,45,Platinum
36693,TCF,S.W.A.T Academy,45,Platinum
36693,YFA,S.W.A.T Academy,45,Platinum
36693,YPG,S.W.A.T Academy,45,Platinum
36891,AGB,FLATLINE,88,Platinum
36891,BGB,FLATLINE,88,Platinum
36891,CGB,FLATLINE,88,Platinum
36891,CHA,FLATLINE,88,Platinum
36891,DGB,FLATLINE,88,Platinum
36891,EGB,FLATLINE,88,Platinum
36891,EHA,FLATLINE,88,Platinum
36891,FHA,FLATLINE,88,Platinum
36891,GGB,FLATLINE,88,Platinum
36891,HFB,FLATLINE,88,Platinum
36891,KGB,FLATLINE,88,Platinum
36891,KHA,FLATLINE,88,Platinum
36891,PIA,FLATLINE,88,Platinum
36891,UGB,FLATLINE,88,Platinum
36891,VGB,FLATLINE,88,Platinum
36891,WGB,FLATLINE,88,Platinum
36891,XGB,FLATLINE,88,Platinum
37185,AIC,Catch 22,83,Gold
37185,AOD,Catch 22,83,Gold
37185,ATE,Catch 22,83,Gold
37185,CND,Catch 22,83,Gold
37185,COD,Catch 22,83,Gold
37185,JJC,Catch 22,83,Gold
37185,JNE,Catch 22,83,Gold
37185,KJC,Catch 22,83,Gold
37185,KOD,Catch 22,83,Gold
37185,LJC,Catch 22,83,Gold
37185,LNE,Catch 22,83,Gold
37185,LPD,Catch 22,83,Gold
37185,MEC,Catch 22,83,Gold
37185,OOE,Catch 22,83,Gold
37185,PMC,Catch 22,83,Gold
37426,AHA,Monarch Embassy,33,Platinum
37426,APB,Monarch Embassy,33,Platinum
37426,BQB,Monarch Embassy,33,Platinum
37426,GRB,Monarch Embassy,33,Platinum
37426,NQB,Monarch Embassy,33,Platinum
37426,OHA,Monarch Embassy,33,Platinum
37426,PRG,Monarch Embassy,33,Platinum
37426,VCF,Monarch Embassy,33,Platinum
37426,WHA,Monarch Embassy,33,Platinum
37426,WPB,Monarch Embassy,33,Platinum
37426,XPB,Monarch Embassy,33,Platinum
37426,YPB,Monarch Embassy,33,Platinum
37426,ZPB,Monarch Embassy,33,Platinum
37450,CXG,Wargasm-DNA,49,Silver
37450,DLD,Wargasm-DNA,49,Silver
37450,DXG,Wargasm-DNA,49,Silver
37450,EXG,Wargasm-DNA,49,Silver
37450,VMD,Wargasm-DNA,49,Silver
37450,WMD,Wargasm-DNA,49,Silver
37450,XMD,Wargasm-DNA,49,Silver
37498,BBD,The Railroad,84,Silver
37498,HDE,The Railroad,84,Silver
37498,IDE,The Railroad,84,Silver
37498,JDE,The Railroad,84,Silver
37498,JFD,The Railroad,84,Silver
37498,KDE,The Railroad,84,Silver
37498,LDD,The Railroad,84,Silver
37786,FDB,Halos Momentum,71,Platinum
37786,GDB,Halos Momentum,71,Platinum
37786,HDB,Halos Momentum,71,Platinum
37786,LDB,Halos Momentum,71,Platinum
37786,MMA,Halos Momentum,71,Platinum
37786,OMA,Halos Momentum,71,Platinum
37786,PMA,Halos Momentum,71,Platinum
37786,QMA,Halos Momentum,71,Platinum
37786,UMA,Halos Momentum,71,Platinum
37786,VMA,Halos Momentum,71,Platinum
37786,WMA,Halos Momentum,71,Platinum
37786,XMA,Halos Momentum,71,Platinum
37786,YMA,Halos Momentum,71,Platinum
37786,ZMA,Halos Momentum,71,Platinum
37803,DUD,PT-PimpTuga,44,Platinum
38481,DIB,LIFELINE,97,Bronze
38481,EIB,LIFELINE,97,Bronze
38481,FIB,LIFELINE,97,Bronze
38481,HHB,LIFELINE,97,Bronze
38481,JHB,LIFELINE,97,Bronze
38481,KHB,LIFELINE,97,Bronze
38481,NIB,LIFELINE,97,Bronze
38481,OIB,LIFELINE,97,Bronze
38481,PIB,LIFELINE,97,Bronze
38481,TIB,LIFELINE,97,Bronze
38481,VIB,LIFELINE,97,Bronze
38532,QXF,The People Vs VaflioG,28,Unranked
38532,RXF,The People Vs VaflioG,28,Unranked
38532,WXF,The People Vs VaflioG,28,Unranked
38634,NIE,Takut Bini Army of Light,18,Platinum
38634,PXE,Takut Bini Army of Light,18,Platinum
38668,AWC,Valhalla - Barna,94,Bronze
38668,EWC,Valhalla - Barna,94,Bronze
38668,FUF,Valhalla - Barna,94,Bronze
38668,GUF,Valhalla - Barna,94,Bronze
38668,GWC,Valhalla - Barna,94,Bronze
38668,HUF,Valhalla - Barna,94,Bronze
38668,WWC,Valhalla - Barna,94,Bronze
38668,XWC,Valhalla - Barna,94,Bronze
38668,YWC,Valhalla - Barna,94,Bronze
38668,ZWC,Valhalla - Barna,94,Bronze
38675,GOB,The Legion of Evil,35,Bronze
38761,CZG,Shadow Healers,76,Bronze
38761,DZG,Shadow Healers,76,Bronze
38761,FZG,Shadow Healers,76,Bronze
38761,HZG,Shadow Healers,76,Bronze
38761,IZG,Shadow Healers,76,Bronze
38761,LZG,Shadow Healers,76,Bronze
38761,NAG,Shadow Healers,76,Bronze
38761,QAG,Shadow Healers,76,Bronze
38761,SAG,Shadow Healers,76,Bronze
38761,TAG,Shadow Healers,76,Bronze
38761,TUG,Shadow Healers,76,Bronze
38761,UTG,Shadow Healers,76,Bronze
38761,UUG,Shadow Healers,76,Bronze
38761,VUG,Shadow Healers,76,Bronze
38761,VZG,Shadow Healers,76,Bronze
38761,WTG,Shadow Healers,76,Bronze
38761,XZG,Shadow Healers,76,Bronze
39226,JZF,Samurai Uprising*,61,Silver
39226,MZF,Samurai Uprising*,61,Silver
39226,NAF,Samurai Uprising*,61,Silver
39226,QAF,Samurai Uprising*,61,Silver
39226,RAF,Samurai Uprising*,61,Silver
39226,UAF,Samurai Uprising*,61,Silver
39549,GYB,Good Guys,50,Gold
39549,HYB,Good Guys,50,Gold
39549,IBF,Good Guys,50,Gold
39549,IYB,Good Guys,50,Gold
39549,JYB,Good Guys,50,Gold
39549,QLB,Good Guys,50,Gold
39549,TYB,Good Guys,50,Gold
39549,UYB,Good Guys,50,Gold
39549,VGA,Good Guys,50,Gold
39549,VYB,Good Guys,50,Gold
39549,WYB,Good Guys,50,Gold
39549,XCF,Good Guys,50,Gold
39549,XYB,Good Guys,50,Gold
39756,AFD,Abusement Park,98,Platinum
39756,DXE,Abusement Park,98,Platinum
39756,EXE,Abusement Park,98,Platinum
39756,FDG,Abusement Park,98,Platinum
39756,FIE,Abusement Park,98,Platinum
39756,FXE,Abusement Park,98,Platinum
39756,GIE,Abusement Park,98,Platinum
39756,GXE,Abusement Park,98,Platinum
39756,MED,Abusement Park,98,Platinum
39756,UXE,Abusement Park,98,Platinum
39756,VXE,Abusement Park,98,Platinum
39756,WIE,Abusement Park,98,Platinum
39756,XFD,Abusement Park,98,Platinum
39756,ZFD,Abusement Park,98,Platinum
39781,TNF,Zenith Rising,14,Platinum
39788,CAA,Cerberus,82,Platinum
39788,IUB,Cerberus,82,Platinum
39788,KBG,Cerberus,82,Platinum
39788,LUB,Cerberus,82,Platinum
39788,MUB,Cerberus,82,Platinum
39788,NVB,Cerberus,82,Platinum
39788,OVB,Cerberus,82,Platinum
39788,QVB,Cerberus,82,Platinum
39788,RCG,Cerberus,82,Platinum
40334,ALE,Sentinels,36,Platinum
40334,BLE,Sentinels,36,Platinum
40334,DXC,Sentinels,36,Platinum
40334,EDG,Sentinels,36,Platinum
40334,ESE,Sentinels,36,Platinum
40334,EZC,Sentinels,36,Platinum
40334,FZC,Sentinels,36,Platinum
40334,NZC,Sentinels,36,Platinum
40334,PBC,Sentinels,36,Platinum
40334,SZC,Sentinels,36,Platinum
40334,YLE,Sentinels,36,Platinum
40334,ZLE,Sentinels,36,Platinum
40399,AVD,WIT-Mayhem,88,Gold
40399,FCE,WIT-Mayhem,88,Gold
40399,GCE,WIT-Mayhem,88,Gold
40399,GXD,WIT-Mayhem,88,Gold
40399,HCE,WIT-Mayhem,88,Gold
40399,JCE,WIT-Mayhem,88,Gold
40399,KCE,WIT-Mayhem,88,Gold
40399,LCE,WIT-Mayhem,88,Gold
40399,LZD,WIT-Mayhem,88,Gold
40399,MCE,WIT-Mayhem,88,Gold
40399,MDE,WIT-Mayhem,88,Gold
40399,MZD,WIT-Mayhem,88,Gold
40399,PAD,WIT-Mayhem,88,Gold
40399,SAD,WIT-Mayhem,88,Gold
40399,TAD,WIT-Mayhem,88,Gold
40399,ZYD,WIT-Mayhem,88,Gold
40420,CQD,Too Sober for this Shit,94,Platinum
40420,DKC,Too Sober for this Shit,94,Platinum
40420,FOD,Too Sober for this Shit,94,Platinum
40420,HND,Too Sober for this Shit,94,Platinum
40420,NEG,Too Sober for this Shit,94,Platinum
40420,TND,Too Sober for this Shit,94,Platinum
40420,VLC,Too Sober for this Shit,94,Platinum
40420,VND,Too Sober for this Shit,94,Platinum
40420,WIC,Too Sober for this Shit,94,Platinum
40420,WLC,Too Sober for this Shit,94,Platinum
40420,XND,Too Sober for this Shit,94,Platinum
40420,YDE,Too Sober for this Shit,94,Platinum
40449,VRC,Razers,93,Bronze
40518,CXE,Monarch Optimus,66,Gold
40518,KID,Monarch Optimus,66,Gold
40518,LXE,Monarch Optimus,66,Gold
40518,MHE,Monarch Optimus,66,Gold
40518,MXE,Monarch Optimus,66,Gold
40518,OXE,Monarch Optimus,66,Gold
40518,OYE,Monarch Optimus,66,Gold
40518,QYE,Monarch Optimus,66,Gold
40518,RXE,Monarch Optimus,66,Gold
40518,SXE,Monarch Optimus,66,Gold
40518,XXE,Monarch Optimus,66,Gold
40518,YXE,Monarch Optimus,66,Gold
40518,ZXE,Monarch Optimus,66,Gold
40624,BCC,Toxic Reign,79,Platinum
40624,EFC,Toxic Reign,79,Platinum
40624,JGC,Toxic Reign,79,Platinum
40624,KGC,Toxic Reign,79,Platinum
40624,KNE,Toxic Reign,79,Platinum
40624,LAC,Toxic Reign,79,Platinum
40624,MBC,Toxic Reign,79,Platinum
40624,NME,Toxic Reign,79,Platinum
40624,OHC,Toxic Reign,79,Platinum
40624,SME,Toxic Reign,79,Platinum
40624,UBC,Toxic Reign,79,Platinum
40624,UCC,Toxic Reign,79,Platinum
40624,WDC,Toxic Reign,79,Platinum
40624,YBC,Toxic Reign,79,Platinum
40624,ZBC,Toxic Reign,79,Platinum
40774,FGF,Pennywise Clown Posse,94,Gold
40774,GGF,Pennywise Clown Posse,94,Gold
40774,KJF,Pennywise Clown Posse,94,Gold
40774,RHF,Pennywise Clown Posse,94,Gold
40774,SHF,Pennywise Clown Posse,94,Gold
40774,WHF,Pennywise Clown Posse,94,Gold
40774,XHF,Pennywise Clown Posse,94,Gold
40774,YGF,Pennywise Clown Posse,94,Gold
40774,YHF,Pennywise Clown Posse,94,Gold
40775,CHB,WarDogs HQ,86,Platinum
40775,DHB,WarDogs HQ,86,Platinum
40775,EHB,WarDogs HQ,86,Platinum
40775,FHB,WarDogs HQ,86,Platinum
40775,IHB,WarDogs HQ,86,Platinum
40775,JGB,WarDogs HQ,86,Platinum
40775,LGB,WarDogs HQ,86,Platinum
40775,LHB,WarDogs HQ,86,Platinum
40775,MHB,WarDogs HQ,86,Platinum
40775,RHB,WarDogs HQ,86,Platinum
40775,RJF,WarDogs HQ,86,Platinum
40775,SHB,WarDogs HQ,86,Platinum
40775,SJF,WarDogs HQ,86,Platinum
40775,THB,WarDogs HQ,86,Platinum
40775,YHB,WarDogs HQ,86,Platinum
40775,ZHB,WarDogs HQ,86,Platinum
40775,ZQG,WarDogs HQ,86,Platinum
40951,CSF,TBA-Rise Again,59,Silver
40951,NSE,TBA-Rise Again,59,Silver
40992,BVD,Medic!!,98,Diamond
40992,CVD,Medic!!,98,Diamond
40992,DVD,Medic!!,98,Diamond
40992,DWD,Medic!!,98,Diamond
40992,GVE,Medic!!,98,Diamond
40992,HRD,Medic!!,98,Diamond
40992,HTD,Medic!!,98,Diamond
40992,IQD,Medic!!,98,Diamond
40992,JTD,Medic!!,98,Diamond
40992,LSD,Medic!!,98,Diamond
40992,OPD,Medic!!,98,Diamond
40992,QSD,Medic!!,98,Diamond
40992,RSD,Medic!!,98,Diamond
40992,RWD,Medic!!,98,Diamond
40992,SWD,Medic!!,98,Diamond
40992,TSD,Medic!!,98,Diamond
40992,UUD,Medic!!,98,Diamond
41028,BGC,DP Medics,22,Platinum
41067,NCE,Houdini,52,Platinum
41225,KAF,PT-erodactyls,35,Platinum
41225,LAF,PT-erodactyls,35,Platinum
41225,PIC,PT-erodactyls,35,Platinum
41225,QBF,PT-erodactyls,35,Platinum
41225,QIC,PT-erodactyls,35,Platinum
41225,RBF,PT-erodactyls,35,Platinum
41225,TBF,PT-erodactyls,35,Platinum
41234,AKF,Peaky CS,39,Platinum
41234,FJA,Peaky CS,39,Platinum
41234,HJA,Peaky CS,39,Platinum
41234,IJA,Peaky CS,39,Platinum
41234,JJA,Peaky CS,39,Platinum
41234,KJA,Peaky CS,39,Platinum
41234,LJA,Peaky CS,39,Platinum
41234,MJA,Peaky CS,39,Platinum
41234,NKA,Peaky CS,39,Platinum
41234,QKA,Peaky CS,39,Platinum
41363,BCB,WIT-Revolution,51,Silver
41363,CCB,WIT-Revolution,51,Silver
41363,DCB,WIT-Revolution,51,Silver
41363,ECB,WIT-Revolution,51,Silver
41363,FCB,WIT-Revolution,51,Silver
41363,HCB,WIT-Revolution,51,Silver
41363,ZCB,WIT-Revolution,51,Silver
41593,LGG,TBA - Marauders,10,Gold
41620,BYC,Wargasm Revival Medicare,33,Gold
41620,TTF,Wargasm Revival Medicare,33,Gold
41620,UYC,Wargasm Revival Medicare,33,Gold
41620,YYC,Wargasm Revival Medicare,33,Gold
41768,ATD,Aces Elite,92,Platinum
41768,JND,Aces Elite,92,Platinum
41768,PRD,Aces Elite,92,Platinum
41768,RQD,Aces Elite,92,Platinum
41768,RUD,Aces Elite,92,Platinum
41768,URD,Aces Elite,92,Platinum
41768,VPD,Aces Elite,92,Platinum
41768,WDE,Aces Elite,92,Platinum
41768,WTD,Aces Elite,92,Platinum
41768,XDE,Aces Elite,92,Platinum
41768,YOD,Aces Elite,92,Platinum
41768,YRD,Aces Elite,92,Platinum
41768,ZUD,Aces Elite,92,Platinum
41775,HDD,PT-Torntuga,26,Platinum
41775,IAD,PT-Torntuga,26,Platinum
41775,KTE,PT-Torntuga,26,Platinum
41775,MBD,PT-Torntuga,26,Platinum
41775,PCD,PT-Torntuga,26,Platinum
41775,SED,PT-Torntuga,26,Platinum
41775,VDD,PT-Torntuga,26,Platinum
41853,CFD,Blood Money,82,Gold
41853,JID,Blood Money,82,Gold
41853,MID,Blood Money,82,Gold
41853,NHD,Blood Money,82,Gold
41853,OCE,Blood Money,82,Gold
41853,PID,Blood Money,82,Gold
41853,QCE,Blood Money,82,Gold
41853,TGD,Blood Money,82,Gold
41853,VGD,Blood Money,82,Gold
41853,WLD,Blood Money,82,Gold
41853,XLD,Blood Money,82,Gold
41853,YJD,Blood Money,82,Gold
41929,AEE,Valor,95,Diamond
41929,CEE,Valor,95,Diamond
41929,DEE,Valor,95,Diamond
41929,ESB,Valor,95,Diamond
41929,HPG,Valor,95,Diamond
41929,HSB,Valor,95,Diamond
41929,ISB,Valor,95,Diamond
41929,NEA,Valor,95,Diamond
41929,OEA,Valor,95,Diamond
41929,RAD,Valor,95,Diamond
41929,WPG,Valor,95,Diamond
41929,XPG,Valor,95,Diamond
41929,YEA,Valor,95,Diamond
41929,YEE,Valor,95,Diamond
41929,ZEE,Valor,95,Diamond
42055,LCB,Dead Fragment,41,Platinum
42055,LIA,Dead Fragment,41,Platinum
42055,TOB,Dead Fragment,41,Platinum
42055,UOB,Dead Fragment,41,Platinum
42113,XKF,TEs_t!.@&#039;,27,Bronze
42125,AME,ODB,95,Diamond
42125,AUD,ODB,95,Diamond
42125,CSD,ODB,95,Diamond
42125,DQD,ODB,95,Diamond
42125,DSD,ODB,95,Diamond
42125,GJE,ODB,95,Diamond
42125,GVD,ODB,95,Diamond
42125,HVE,ODB,95,Diamond
42125,MTD,ODB,95,Diamond
42125,PGE,ODB,95,Diamond
42125,PXD,ODB,95,Diamond
42125,QVD,ODB,95,Diamond
42125,QXD,ODB,95,Diamond
42125,SUD,ODB,95,Diamond
42125,VVD,ODB,95,Diamond
42125,XTD,ODB,95,Diamond
42125,XWD,ODB,95,Diamond
42263,HXD,Happy Vegemites,58,Silver
42435,BBB,Nub Army,53,Platinum
42435,CAF,Nub Army,53,Platinum
42435,CBB,Nub Army,53,Platinum
42435,EBB,Nub Army,53,Platinum
42435,FBB,Nub Army,53,Platinum
42435,GBB,Nub Army,53,Platinum
42435,HBB,Nub Army,53,Platinum
42435,JBB,Nub Army,53,Platinum
42435,KBB,Nub Army,53,Platinum
42435,LBF,Nub Army,53,Platinum
42435,NDB,Nub Army,53,Platinum
42435,ODB,Nub Army,53,Platinum
42435,RDB,Nub Army,53,Platinum
42435,SDB,Nub Army,53,Platinum
42435,WBF,Nub Army,53,Platinum
42435,XBF,Nub Army,53,Platinum
42435,YBF,Nub Army,53,Platinum
42505,AFG,BoW - Hidden Shadows,78,Gold
42505,FFG,BoW - Hidden Shadows,78,Gold
42505,GFG,BoW - Hidden Shadows,78,Gold
