fac1,fac2,fac1_name,fac2_name,wstart,wid,week
37450,47648,Wargasm-DNA,Rising Heroes,1740261600,22406,2025_8
51932,53223,$Money Makers$,The Kinship.,1740110400,22405,2025_8
52788,53155,MATRIX UNDERGROUND,TCC,1740081600,22404,2025_8
16443,38847,Undead Covenant,Vigilantes,1740182400,22403,2025_8
8838,48274,Hells Inferno,Maddened Morons,1740254400,22402,2025_8
44547,50528,MORTAL WARLORDS,shell farm,1740182400,22401,2025_8
49921,50207,Guardians of Asgard,The Hideout,1740171600,22400,2025_8
10566,27370,The Rifle Company,Desert Eagle,1740074400,22399,2025_8
13665,28349,PT-Penguins,Dexter&#039;s Laboratory,1740157200,22398,2025_8
9356,33458,SMTH - Party Animals,SA House of Mischief,1740236400,22397,2025_8
9503,44404,TSFTS Microbrewery,S.C.A.R. - DELTA GREEN,1740078000,22396,2025_8
19,6974,39th Street Killers,Onion Smugglers,1740171600,22395,2025_8
37426,40959,Monarch Embassy,EPIC Mafia,1740074400,22394,2025_8
40334,42872,Sentinels,Ares Kratos,1740247200,22393,2025_8
48246,50723,Knockout - Care Corner,Shaggers,1740171600,22392,2025_8
44164,50440,Bullets &amp; Booze,The Desert Rats.,1740078000,22391,2025_8
8706,21665,Carbon,Monarch Army of Light,1740240000,22390,2025_8
50783,52677,Army of Terror HQ,The Lions Den,1740164400,22389,2025_8
49782,52418,Den Legends,The BellaNostra Family,1740088800,22388,2025_8
49924,50055,OnlyXans,Bleak,1740254400,22387,2025_8
13307,39549,Goblin Horde,Good Guys,1740243600,22386,2025_8
16299,47893,Neon Cartel,The Rifle Elites,1740247200,22385,2025_8
52933,52984,Spider-Verse,Blood Coven,1740164400,22384,2025_8
8062,15222,Ruthless Reborn,Mortiferi,1740088800,22383,2025_8
8867,21368,Monarch Chrysalis,Escensio Incursus,1740146400,22382,2025_8
8085,15929,Nuclear Blast,The Inquisition,1740063600,22381,2025_8
50242,52905,The Rebel Association,Odds &amp; Sods,1740236400,22380,2025_8
35090,51855,Desert Phoenix,Chaos Cartel,1740164400,22379,2025_8
9524,16628,|HT|,Chain Reaction,1740070800,22378,2025_8
6731,9533,The Next Level,Natural Selection,1740236400,22377,2025_8
8336,16335,Monarch HQ,SMTH - November Chopin,1740146400,22376,2025_8
52603,52953,Midas Touch,Sinful Sacrosanct,1740085200,22375,2025_8
7709,27223,Vulpes Vulpes,Stompers,1740153600,22374,2025_8
8869,50709,Bendetti,HF-Vengeance,1740218400,22373,2025_8
7986,35140,Assassin Team,Vault 76,1740070800,22372,2025_8
47835,47859,Frogs of Fortune,Ghost Riders,1740243600,22371,2025_8
52246,53239,The Classroom,Mizfits,1740110400,22370,2025_8
40020,50750,Something in Latin,Axiom,1740261600,22369,2025_8
