uid,name,level,la,fid,faction,rankedwarhits,attackswon,xantaken,useractivity,retals,boostersused,energydrinkused,specialammoused,dukecontractscompleted,refills,Stats,total
2605152,Mr_Disaster,100,1718870804,6731,The Next Level,2891,13850,3084,25276180,323,2283,5381,11226,597,1130,0,4170247220
2605213,CausticNG,75,1718860837,35507,The Nest,74,2475,1588,1390747,5,342,268,493,52,603,0,921206277
2605231,NeelixGhost,88,1718877891,8422,Monarch Cupid,393,3556,1747,7179983,6,67,0,351,43,672,0,1239973523
2605349,FloppyCheeks,80,1718877153,35507,The Nest,217,4124,2055,5487221,10,156,38,6241,277,685,0,1418326106
2605359,Filthy_Fluffles,69,1718875727,42125,ODB,233,4939,879,4967758,3,73,372,245,250,362,0,242799724
2605365,Joeweezy,100,1718868650,18736,Monarch Research,495,15596,2721,6098071,8,1147,1883,38471,1026,1116,0,2193892349
2605415,FlyAgaric,100,1718874923,20747,Damage Inc,2288,10874,3941,25627697,176,136,665,5685,291,1348,0,3832340566
2605468,thisisjad,44,1718873223,44762,The Iron Maiden,744,1589,254,846059,6,139,52,0,19,74,0,1183753
2605556,Doobydoo,99,1718857347,6731,The Next Level,1877,9823,3048,12431381,379,425,2749,21741,573,1135,0,3073193383
2605613,Asbestos,96,1718870595,7835,Monarch Mutation,867,9912,2673,11827772,330,691,881,14882,367,1033,0,2289934959
2605637,CooterDefender,41,1718863456,946,PT-IronHearts,202,2374,1132,3446500,2,13,32,2550,158,312,0,174003695
2605649,OCTOPUS92,80,1718867746,9036,The Black Pearl,920,6317,2736,4024991,4,211,364,1111,148,931,0,2015900652
2605754,Gyorn,50,1718857472,7935,Blue Rock Collective,751,2715,1194,2711814,28,48,0,0,104,59,0,365090553
2605836,Dunno_,40,1718878248,45421,Ricefields of Neverland,183,1261,459,1725452,1,99,0,0,65,129,0,1282170
2606114,Alky,59,1718860349,43428,The Madhouse Resurrection,319,2772,216,1827463,3,36,412,5837,184,164,0,175808280
2606131,PCPC,76,1718854650,47830,The Disgruntled Few,341,4728,1653,2837294,1,100,27,1946,413,441,0,828184911
2606239,Bootleg_Epik,54,1718864533,40775,WarDogs HQ,596,5867,2096,4136139,63,85,23,3446,252,709,0,1330316715
2606365,Dushane,93,1718878342,8336,Monarch HQ,285,11599,2921,13237456,141,837,2053,10634,319,1008,0,2472532830
2606382,NYRenegade,93,1718876937,16282,Nuclear Winter,710,10191,2781,7106115,20,259,446,13650,333,347,0,1837801726
2606404,personamb,90,1718865358,36891,FLATLINE,361,5804,2090,1942014,13,70,139,4987,672,375,0,1336286685
