uid,name,level,la,fid,faction,rankedwarhits,attackswon,xantaken,useractivity,retals,boostersused,energydrinkused,specialammoused,dukecontractscompleted,refills,total
1152433,Nihar,100,1718877917,8336,Monarch HQ,103,127,211,338585,5,14,339,550,10,69,12199820665
1154001,Hatchet,100,1718872703,8706,Carbon,374,718,232,837588,47,24,977,6016,76,84,10406422832
1154897,Milosh,100,1718878501,28349,Dexter&#039;s Laboratory,11,72,247,356674,2,6,0,0,0,82,12452105147
1159022,minamimoto,100,1718877605,8317,Naughty Souls,2,2,217,121104,0,8,1,0,0,87,7881363510
1159897,smurf,100,1718852665,9041,PT-Calculated,297,826,188,316695,16,44,35,3962,35,80,10835365839
116028,dk1234,100,1718877614,16053,Asylum 2.0,570,646,191,309427,12,43,19,13862,64,75,11265061442
1160594,DamianWayne,100,1718875408,16312,39th Street Killers X,233,664,249,251219,2,1,739,1441,85,90,6377036735
1161029,slayer97,100,1718876699,8151,Chromatic,206,217,195,477556,9,7,0,600,12,71,8044087165
1161626,LTJELLOMAN,100,1718862220,11747,Natural Selection II,396,1274,230,1444018,109,40,389,427,5,75,4.68e+10
1161672,Bon3s,93,1718878151,20881,.AMOEBA.,128,563,246,279651,1,1,6,400,9,82,3007111884
1161882,TheoZ,100,1718878074,16312,39th Street Killers X,125,441,205,418082,0,9,9,500,13,63,15986766253
1162052,Strelok,100,1718877955,6799,The Untouchables,24,687,246,231696,7,11,135,1305,57,80,4108044846
1162351,budo_scarecrow,100,1718859262,22492,Dystopia,134,383,239,234728,35,44,42,422,69,73,10624896242
1164699,ceaseeer,100,1718872161,8520,Xenon,27,244,231,458408,9,12,229,974,81,83,6412553387
116536,HT-hch34,89,1718872525,9524,HT-Fenris,321,344,221,240917,17,14,224,1146,10,80,3872592536
1167928,BigBonziBuddy,81,1718877680,8520,Xenon,3,59,213,196372,0,2,0,0,11,79,3826775274
1169153,Jimmy12X,100,1718870987,14078,~Twisted~,23,24,242,95369,0,13,0,0,0,86,11609255702
1170226,Lift,100,1718854505,8151,Chromatic,150,155,183,115560,16,2,764,2672,0,79,8067779719
1171741,Adaline,100,1718874459,2095,insurreXtion,269,324,253,575377,0,15,974,0,36,88,12580968349
1172344,loonie,100,1718875585,2736,Itsi Bitsi Bikini,71,289,261,176394,6,38,16,3939,44,89,12573158660
1172347,grobut,25,1718876628,21665,Monarch Army of Light,247,797,210,364870,4,0,22,159,22,59,283826318
117259,Ranf,100,1718873867,13665,PT-Penguins,327,504,237,395937,29,121,112,5380,78,84,9071343549
117313,High,100,1718874457,20747,Damage Inc,174,202,183,201558,21,6,6,965,0,81,10704281222
1174171,Samurache,100,1718878454,18569,Romania Elite Kommando,46,91,243,550494,0,7,1,1202,29,85,7516633356
117506,t0m,100,1718877053,9524,HT-Fenris,127,160,204,195447,7,17,53,0,0,73,3841107019
1176287,Paul,100,1718858412,3241,JFK,98,271,227,350414,5,12,31,780,66,60,7241426598
1177731,_O_o_,100,1718870569,9041,PT-Calculated,248,394,203,357336,2,5,79,2172,77,84,5683121449
1178603,MgTheGreat,100,1718866721,10913,Unbroken Silence,309,929,200,1071088,39,17,185,517,57,73,7770110245
1178989,Stricken,99,1718856387,33458,SA One  Punch,339,640,236,653229,43,74,652,250,60,89,7158537856
1180223,IsMiseAaron,88,1718872282,8537,NNGO,67,162,192,225866,3,0,1,0,8,79,1091093448
1180915,x_IBennnnn,94,1718869607,9036,The Black Pearl,61,244,190,91489,10,0,8,0,0,86,8339217691
1182764,Kamikaze-Phobe,100,1718862342,8938,Arcadia,0,563,215,146652,0,4,86,418,86,86,5298217082
1184072,AntiCupid,87,1718874831,9055,Natural Selection IV,65,82,214,405500,0,2,12,0,1,81,2618709607
1184330,Rixer,100,1718877703,9100,The Black Hand,503,593,246,1350859,94,10,67,7099,73,84,4528453178
1186889,mozzy134,78,1718877531,9041,PT-Calculated,190,191,224,214310,1,0,1,939,0,81,2402485239
1187574,S-I-S,100,1718875245,16628,Chain Reaction,499,586,268,1681888,4,19,39,1282,15,89,18130284698
1187876,Lat,100,1718878457,16696,Scum Squad HQ,992,4741,239,2425980,253,354,24,3140,48,89,1.314e+11
1190773,Art,26,1718877445,10820,Lithium,0,576,234,481229,0,8,219,1343,76,87,1545470193
1191149,Rosarium,80,1718877056,10818,Lex Wolverines,240,832,219,830909,73,8,62,60,89,76,3553191257
1192157,kuasa,100,1718875698,8336,Monarch HQ,462,577,260,839127,5,1,120,2496,48,84,15073418608
1195734,RoLin100,88,1718857846,8085,Nuclear Blast,292,431,204,576007,16,17,4,20,40,77,1494530573
1197027,Wilkyvvay,49,1718875609,15929,The Inquisition,146,528,258,849854,0,13,10,470,9,89,507239401
1197995,Chesna,100,1718872104,15222,Dark Arts,839,1056,182,503826,143,31,49,2184,27,76,14312615754
1199477,Ragnfrior,99,1718875071,6799,The Untouchables,11,590,214,178813,16,4,0,719,86,86,5303774705
1199649,StreetRuler,100,1718859561,7709,Vulpes Vulpes,123,221,217,278440,12,6,2,4548,71,61,10949305916
1200106,moezmay,62,1718877762,21665,Monarch Army of Light,66,104,222,741184,0,0,0,0,6,87,810413909
1201431,Eli,99,1718877421,35507,The Nest,101,284,193,360003,5,7,2,7414,81,79,2609101600
1204341,DA-FRAZA,40,1718870223,8468,Bloodbath and Beyond,57,646,196,472762,0,2,20,0,79,84,57087451
1205033,aps,100,1718873752,7835,Monarch Mutation,254,489,263,760050,6,9,412,5,81,87,5434454043
1207116,2000,97,1718865329,41929,Valor,363,518,221,177123,6,1,0,0,38,73,3743921485
1207262,Embra,100,1718875658,2736,Itsi Bitsi Bikini,75,81,222,83501,3,10,0,329,0,81,7665695747
1207312,-AKA-Spark,99,1718868479,9041,PT-Calculated,254,319,233,271211,4,9,6,0,31,81,2637388026
1211375,TerraZone,100,1718878366,8706,Carbon,185,285,226,216880,1,5,103,1444,27,88,5566606075
121433,Pidu,100,1718867507,13665,PT-Penguins,68,89,197,54250,7,6,0,0,0,77,11711460366
1220645,Smiffy,100,1718876033,27223,Little Stompers,382,937,240,589963,97,71,34,4461,46,89,10099041193
122870,Tonk,100,1718860843,231,Destructive Anomaly,299,306,231,324885,10,22,104,745,2,84,13024129421
123036,Umol,91,1718864637,11581,Natural Selection III,13,13,184,57596,3,13,0,0,0,53,4085496562
1232819,badger1965,86,1718875372,10174,AQUA-Poseidon,417,420,196,155747,0,52,2,0,0,85,11115580627
123649,Dabzilla,37,1718864845,28349,Dexter&#039;s Laboratory,113,735,203,268327,0,15,59,186,68,74,87558057
123708,Genocide,92,1718870141,9533,Natural Selection,265,452,229,656071,1,5,1056,800,53,87,10718770683
1243700,Morrissey,54,1718876488,37786,Halos Momentum,388,634,246,602374,17,5,4,1358,21,89,73162228
12469,Tygra,100,1718857925,16628,Chain Reaction,52,53,238,95799,0,3,12,17,0,83,12316384792
1251698,Magnum,100,1718855725,16312,39th Street Killers X,50,254,237,340829,0,2,23,160,36,90,7449913510
1258534,Sam-Phenom,30,1718870739,89,Catalysis,157,263,199,347716,0,1,0,0,5,86,896742958
126091,sCrEwBuRgEr,64,1718875934,9728,Victores Cruenti,522,728,188,641285,4,45,9,0,36,65,541732392
1261819,g_ho,100,1718873083,9533,Natural Selection,261,324,181,244186,0,18,229,10533,0,82,17024811398
1263853,danielfritzzz,100,1718875937,8706,Carbon,254,436,245,406839,6,5,23,0,68,86,11293935567
1264195,jon0,78,1718878065,15655,Ravage,10,556,233,578098,1,1,0,2805,89,82,1318776572
1264813,BlueAdept,100,1718878185,16312,39th Street Killers X,145,190,271,647266,0,15,41,926,0,83,7194966338
1265093,Willysw,95,1718854640,8537,NNGO,196,301,236,369338,1,42,48,1986,40,63,4691949750
1265754,NickGeo,84,1718872179,7282,Luscious Dreams,16,22,207,81485,0,0,0,33,4,89,3419040843
1265909,Jamin,100,1718859657,16628,Chain Reaction,191,205,228,157280,2,2,185,2183,6,80,10358977817
1266202,DarkSpark,94,1718872480,8989,JUX HQ,11,227,231,296253,2,13,680,2580,74,86,2872402880
1266413,Mugs_Bunny,100,1718877024,32781,HAMAG HQ,774,2121,195,1051601,95,40,63,0,18,55,1911404592
1266551,Doc-On-Duty,67,1718876123,40992,Medic!!,20,172,227,298421,0,1,178,532,1,75,261514644
1266618,alifsatar,70,1718870903,21665,Monarch Army of Light,154,343,183,280791,6,2,0,1035,63,52,1721215223
1268021,Toxin,80,1718878450,16312,39th Street Killers X,398,592,199,1436132,14,9,831,632,0,85,7758005490
1269106,qez,99,1718857558,13665,PT-Penguins,215,243,216,635591,26,8,65,2144,0,63,3866054393
1269398,FI3ND,93,1718866978,41702,39th Street Warriors,296,653,256,853522,14,5,17,141,65,78,3674751011
1272771,LedHarley,63,1718875990,35776,IA Black,350,617,207,826630,51,17,937,0,75,74,1954329328
1273015,-LastSurvivor-,91,1718874472,21234,Underground Nation,393,438,257,489795,21,12,0,825,21,84,2808002740
1274736,RickMcDick,97,1718873683,8520,Xenon,114,294,259,772483,13,1,12,1138,45,85,3444848527
1276677,ICEMAN00723,97,1718876889,9420,Sacrifice,238,433,190,978105,33,12,66,2513,23,74,5618968453
1277209,Bling,80,1718872109,35507,The Nest,26,58,206,186844,0,0,0,328,0,88,1695939821
1278302,John-Gotti,100,1718868031,13784,WarBirds,177,202,183,159071,0,17,0,231,0,68,5652010280
1280348,JPills,90,1718875745,7227,The Collective JTF,212,477,228,568568,164,9,55,3909,33,80,3327961815
1280393,Ice_Addict,70,1718877980,7935,Blue Rock Collective,28,297,188,380632,10,23,19,1391,42,70,607041369
1280905,Hypocritical,100,1718875442,42125,ODB,178,275,252,683098,12,5,898,0,35,88,6327517269
1281415,Temp,100,1718878032,23952,Midnight Plague,236,332,200,262455,56,23,269,4144,10,76,7417933364
1282456,Devastation,100,1718845469,7835,Monarch Mutation,259,276,186,155057,3,0,236,1320,4,82,4739005663
1283219,Epsilonson,100,1718863335,18736,Monarch Research,103,104,184,90778,3,6,0,0,0,77,3403996509
1283405,Dragoonseal,100,1718845811,14078,~Twisted~,168,291,225,298777,0,5,27,2477,80,77,8457427732
1285682,J-C,100,1718861910,2736,Itsi Bitsi Bikini,133,168,240,289231,11,4,3,951,28,79,14382339580
1286893,Yee13,35,1718878447,11428,Swiss Squad,322,354,206,252972,23,27,196,2931,11,90,11692731107
1288184,prastas,100,1718874960,937,Sport Club,137,218,199,184170,14,9,278,0,5,81,5276521907
1288709,nez,100,1718851922,9412,BLACK STATUES,95,246,231,486099,25,44,341,485,37,77,6336992929
1290601,Pai_Gyi82,98,1718869174,9036,The Black Pearl,371,1064,197,305511,60,31,16,6515,56,75,7542135998
1290688,Spink,100,1718872704,7709,Vulpes Vulpes,139,692,246,887824,12,10,85,4097,57,80,5909949898
1291268,TugaRambo,85,1718873404,9171,Occul2us,776,1063,213,962602,21,7,47,1618,78,70,1280514991
1291373,Geta,100,1718871174,13502,Dead or Alive,144,438,194,796659,41,21,154,4483,84,65,9773090280
1291993,ShottomBotty,66,1718872896,38847,Vigilantes,696,1060,239,1126614,24,8,28,2534,90,83,527686141
1294600,Cicero,100,1718874721,11747,Natural Selection II,107,123,271,1710459,6,3,38,0,0,88,8602219792
1295039,iRz,55,1718874149,7074,T.N.U. - Headquarters,193,638,218,371765,90,0,4,22,15,74,1070978231
1296148,Saucy_Jack,35,1718877694,2013,Subversive  Alliance,26,88,249,1260147,0,3,209,0,62,89,15486310263
1296523,naibeo,66,1718878071,7986,Assassin Team,73,73,239,291028,2,0,0,0,0,81,1716360872
1297404,Bardock,88,1718866904,6731,The Next Level,78,85,193,95987,0,7,118,0,6,77,2615808971
1297415,Khan,100,1718844543,15222,Dark Arts,407,1164,206,845281,31,43,90,7217,32,89,10798274147
1300219,sturmw6lfe,100,1718874649,38847,Vigilantes,587,1059,219,524940,32,5,5,30,84,77,5691594311
130060,Metzo,100,1718875340,8151,Chromatic,259,464,200,353245,0,13,449,4339,80,70,7066321347
1302661,cellis,75,1718877135,9517,OverWatch,130,662,209,205198,6,1,1,2938,17,82,1903089567
1302700,skybooster,80,1718876058,937,Sport Club,28,28,240,100158,0,3,6,0,0,90,1756632233
1302890,TengenUzui,76,1718876267,14078,~Twisted~,92,346,240,608528,3,60,89,1318,2,68,678200693
1303667,Zomnus,100,1718878258,40992,Medic!!,322,472,212,662772,12,2,17,0,65,82,4321597292
1307007,Divinity,100,1718874925,11747,Natural Selection II,48,77,212,126400,5,18,6,2565,10,83,14050269410
1307106,Maybe,100,1718855478,16628,Chain Reaction,175,322,212,705347,5,18,106,1941,76,83,16210611357
13096,Smiler,100,1718870468,8938,Arcadia,18,533,216,263146,3,121,18,130,48,89,8268471482
1311397,wc_how,100,1718878372,41929,Valor,1034,1108,230,776731,100,52,56,3629,56,76,14944027614
131289,MIA,100,1718867107,16628,Chain Reaction,313,576,234,900758,3,13,543,1714,66,83,12753653052
1314640,Zino,70,1718866764,14078,~Twisted~,17,65,195,240009,0,1,75,0,9,54,1459895758
1315537,ItalianStallion,100,1718861471,8468,Bloodbath and Beyond,30,418,223,155005,11,6,47,0,13,82,7900054128
131670,HouseHippo,40,1718863800,9100,The Black Hand,194,228,234,293982,0,1,18,0,21,90,2200288226
1317974,Muaz,100,1718875516,7835,Monarch Mutation,179,190,241,181237,5,5,2,2532,0,85,10024784478
1318799,NightWing,100,1718875746,11428,Swiss Squad,262,263,194,486568,4,15,176,1060,0,61,7191536194
1319711,Tool,95,1718862400,8468,Bloodbath and Beyond,123,660,226,560849,17,11,495,688,17,87,6867429208
1321910,Ceberix,100,1718877737,9533,Natural Selection,93,113,216,151455,7,13,28,950,12,84,16164986112
1322114,Bdane,70,1718866389,42125,ODB,34,328,230,276861,0,1,196,4762,16,85,1125313573
1322136,Beerstein,17,1718873597,231,Destructive Anomaly,382,444,200,820286,35,17,27,3156,19,86,8288044627
1322847,OtingocnI,100,1718877293,40420,Too Sober for this Shit,184,438,234,310379,63,10,408,2467,72,86,3007340907
1324531,McLaurens,100,1718864363,22492,Dystopia,158,344,180,159048,24,5,452,807,17,82,8975012647
1325427,Jim,78,1718875642,23193,Materia,280,425,193,576667,0,10,19,0,18,78,1046253519
1326199,Shoop,100,1718875279,19,39th Street Killers,121,267,226,551510,6,4,400,2742,44,80,5181351649
132684,Tigrrrrrr,100,1718850830,13784,WarBirds,257,340,216,874911,15,119,26,3724,35,87,13295103758
1326851,ToyotaSupraTT,100,1718852528,8336,Monarch HQ,30,168,195,136964,0,1,19,1609,28,87,11814007995
1327326,Dishage,99,1718845621,30820,Wolverines Gone Wild,8,376,238,117277,1,1,0,44,5,89,2988150594
133039,Jack-o,100,1718873888,37595,The Corporation,365,410,209,369516,71,21,40,0,13,70,5008621323
1331516,decomposer,100,1718873681,7835,Monarch Mutation,404,629,224,309249,32,4,357,2753,91,87,12252489006
1333543,Senso,100,1718865733,36660,Premature Attackulation,353,358,194,155496,0,0,3,1040,0,72,9105960147
1335603,jacksonpollock,82,1718874839,10174,AQUA-Poseidon,65,76,235,574576,0,103,72,34,5,73,4031793060
1335768,nerbas,100,1718860440,2013,Subversive  Alliance,45,49,190,44374,0,14,0,0,2,78,13554848988
133687,HavokGDI,100,1718867227,9412,BLACK STATUES,380,931,189,374227,9,18,17,834,5,66,16039335606
1337407,wayyeewooo,100,1718876715,33458,SA One  Punch,876,895,203,1317169,120,29,252,99,3,73,10418611494
1338102,KarateMan,100,1718874627,2013,Subversive  Alliance,15,233,262,1218898,0,10,16,971,87,90,16205950057
1338194,lukemaster,100,1718871945,937,Sport Club,156,602,227,446535,18,85,2,5653,86,84,8573924247
1338544,Judge,100,1718876703,11581,Natural Selection III,255,293,183,450078,15,23,212,1254,3,79,8037991273
1338804,cockroach,100,1718856816,230,PT-Family,182,505,202,649737,0,29,93,7530,89,75,9257553023
1339512,Siguror,100,1718866743,16628,Chain Reaction,195,336,249,364650,0,30,9,1301,78,89,15523798755
